customer_no,timestamp,location,next_location
1,2019-09-02 07:02:00,entry,dairy
2,2019-09-02 07:02:00,entry,dairy
1,2019-09-02 07:03:00,dairy,dairy
2,2019-09-02 07:03:00,dairy,dairy
3,2019-09-02 07:03:00,entry,dairy
4,2019-09-02 07:03:00,entry,dairy
5,2019-09-02 07:03:00,entry,spices
6,2019-09-02 07:03:00,entry,spices
7,2019-09-02 07:03:00,entry,spices
8,2019-09-02 07:03:00,entry,fruit
1,2019-09-02 07:04:00,dairy,checkout
2,2019-09-02 07:04:00,dairy,dairy
3,2019-09-02 07:04:00,dairy,dairy
4,2019-09-02 07:04:00,dairy,dairy
8,2019-09-02 07:04:00,fruit,fruit
5,2019-09-02 07:04:00,spices,checkout
6,2019-09-02 07:04:00,spices,dairy
7,2019-09-02 07:04:00,spices,drinks
1,2019-09-02 07:05:00,checkout,checkout
5,2019-09-02 07:05:00,checkout,checkout
2,2019-09-02 07:05:00,dairy,checkout
3,2019-09-02 07:05:00,dairy,checkout
4,2019-09-02 07:05:00,dairy,dairy
6,2019-09-02 07:05:00,dairy,dairy
7,2019-09-02 07:05:00,drinks,drinks
9,2019-09-02 07:05:00,entry,dairy
10,2019-09-02 07:05:00,entry,fruit
11,2019-09-02 07:05:00,entry,drinks
12,2019-09-02 07:05:00,entry,spices
13,2019-09-02 07:05:00,entry,dairy
14,2019-09-02 07:05:00,entry,fruit
8,2019-09-02 07:05:00,fruit,fruit
2,2019-09-02 07:06:00,checkout,checkout
3,2019-09-02 07:06:00,checkout,checkout
4,2019-09-02 07:06:00,dairy,dairy
6,2019-09-02 07:06:00,dairy,dairy
9,2019-09-02 07:06:00,dairy,dairy
13,2019-09-02 07:06:00,dairy,dairy
7,2019-09-02 07:06:00,drinks,drinks
11,2019-09-02 07:06:00,drinks,drinks
15,2019-09-02 07:06:00,entry,spices
16,2019-09-02 07:06:00,entry,dairy
8,2019-09-02 07:06:00,fruit,checkout
10,2019-09-02 07:06:00,fruit,fruit
14,2019-09-02 07:06:00,fruit,fruit
12,2019-09-02 07:06:00,spices,drinks
8,2019-09-02 07:07:00,checkout,checkout
4,2019-09-02 07:07:00,dairy,checkout
6,2019-09-02 07:07:00,dairy,dairy
9,2019-09-02 07:07:00,dairy,dairy
13,2019-09-02 07:07:00,dairy,dairy
16,2019-09-02 07:07:00,dairy,dairy
7,2019-09-02 07:07:00,drinks,drinks
11,2019-09-02 07:07:00,drinks,checkout
12,2019-09-02 07:07:00,drinks,drinks
10,2019-09-02 07:07:00,fruit,checkout
14,2019-09-02 07:07:00,fruit,fruit
15,2019-09-02 07:07:00,spices,fruit
4,2019-09-02 07:08:00,checkout,checkout
10,2019-09-02 07:08:00,checkout,checkout
11,2019-09-02 07:08:00,checkout,checkout
6,2019-09-02 07:08:00,dairy,dairy
9,2019-09-02 07:08:00,dairy,dairy
13,2019-09-02 07:08:00,dairy,dairy
16,2019-09-02 07:08:00,dairy,spices
7,2019-09-02 07:08:00,drinks,spices
12,2019-09-02 07:08:00,drinks,drinks
14,2019-09-02 07:08:00,fruit,checkout
15,2019-09-02 07:08:00,fruit,fruit
14,2019-09-02 07:09:00,checkout,checkout
6,2019-09-02 07:09:00,dairy,dairy
9,2019-09-02 07:09:00,dairy,dairy
13,2019-09-02 07:09:00,dairy,dairy
12,2019-09-02 07:09:00,drinks,checkout
15,2019-09-02 07:09:00,fruit,fruit
7,2019-09-02 07:09:00,spices,spices
16,2019-09-02 07:09:00,spices,spices
12,2019-09-02 07:10:00,checkout,checkout
6,2019-09-02 07:10:00,dairy,dairy
9,2019-09-02 07:10:00,dairy,dairy
13,2019-09-02 07:10:00,dairy,dairy
17,2019-09-02 07:10:00,entry,fruit
15,2019-09-02 07:10:00,fruit,fruit
7,2019-09-02 07:10:00,spices,fruit
16,2019-09-02 07:10:00,spices,checkout
16,2019-09-02 07:11:00,checkout,checkout
6,2019-09-02 07:11:00,dairy,dairy
9,2019-09-02 07:11:00,dairy,fruit
13,2019-09-02 07:11:00,dairy,dairy
18,2019-09-02 07:11:00,entry,fruit
19,2019-09-02 07:11:00,entry,spices
20,2019-09-02 07:11:00,entry,drinks
7,2019-09-02 07:11:00,fruit,fruit
15,2019-09-02 07:11:00,fruit,checkout
17,2019-09-02 07:11:00,fruit,fruit
15,2019-09-02 07:12:00,checkout,checkout
6,2019-09-02 07:12:00,dairy,dairy
13,2019-09-02 07:12:00,dairy,spices
20,2019-09-02 07:12:00,drinks,drinks
21,2019-09-02 07:12:00,entry,drinks
22,2019-09-02 07:12:00,entry,fruit
7,2019-09-02 07:12:00,fruit,checkout
9,2019-09-02 07:12:00,fruit,checkout
17,2019-09-02 07:12:00,fruit,fruit
18,2019-09-02 07:12:00,fruit,fruit
19,2019-09-02 07:12:00,spices,drinks
7,2019-09-02 07:13:00,checkout,checkout
9,2019-09-02 07:13:00,checkout,checkout
6,2019-09-02 07:13:00,dairy,dairy
19,2019-09-02 07:13:00,drinks,drinks
20,2019-09-02 07:13:00,drinks,checkout
21,2019-09-02 07:13:00,drinks,drinks
23,2019-09-02 07:13:00,entry,fruit
24,2019-09-02 07:13:00,entry,drinks
17,2019-09-02 07:13:00,fruit,fruit
18,2019-09-02 07:13:00,fruit,dairy
22,2019-09-02 07:13:00,fruit,fruit
13,2019-09-02 07:13:00,spices,dairy
20,2019-09-02 07:14:00,checkout,checkout
6,2019-09-02 07:14:00,dairy,dairy
13,2019-09-02 07:14:00,dairy,fruit
18,2019-09-02 07:14:00,dairy,dairy
19,2019-09-02 07:14:00,drinks,drinks
21,2019-09-02 07:14:00,drinks,spices
24,2019-09-02 07:14:00,drinks,drinks
17,2019-09-02 07:14:00,fruit,fruit
22,2019-09-02 07:14:00,fruit,dairy
23,2019-09-02 07:14:00,fruit,checkout
23,2019-09-02 07:15:00,checkout,checkout
6,2019-09-02 07:15:00,dairy,dairy
18,2019-09-02 07:15:00,dairy,dairy
22,2019-09-02 07:15:00,dairy,dairy
19,2019-09-02 07:15:00,drinks,drinks
24,2019-09-02 07:15:00,drinks,drinks
25,2019-09-02 07:15:00,entry,spices
26,2019-09-02 07:15:00,entry,fruit
27,2019-09-02 07:15:00,entry,spices
28,2019-09-02 07:15:00,entry,drinks
29,2019-09-02 07:15:00,entry,drinks
13,2019-09-02 07:15:00,fruit,checkout
17,2019-09-02 07:15:00,fruit,fruit
21,2019-09-02 07:15:00,spices,checkout
13,2019-09-02 07:16:00,checkout,checkout
21,2019-09-02 07:16:00,checkout,checkout
